Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Advantaged Care at Prestons Lodge,18 Melaleuca Place,,PRESTONS,NSW,2170,South West Sydney,Residential,132,,,Advantaged Care 2 Pty Limited ATF The Prestons Lodge Trust,Private Incorporated Body,Major Cities of Australia,-33.949988,150.88017,"$9,219,865.76 "
Arcare Warriewood,23-27 Warriewood Road,,WARRIEWOOD,NSW,2102,Northern Sydney,Residential,132,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.6897615,151.3001999,"$7,521,947.69 "
Port Stephens Veterans and Citizens Aged Care - Community Services,"Unit 1, 63 Donald Street",,NELSON BAY,NSW,2315,Hunter,Home Care,,,,Port Stephens Veterans and Citizens Aged Care Ltd,Community Based,Inner Regional Australia,-32.72207289,152.1416211,"$2,581,412.03 "
Australian Vietnamese Aged Care Services,783-785 The Horsley Drive,,SMITHFIELD,NSW,2164,South West Sydney,Residential,68,,,Australian Vietnamese Aged Care Services Limited,Charitable,Major Cities of Australia,-33.85155715,150.9309022,"$6,069,141.45 "
Hunter Nursing Pty Ltd,"Suite 3, 52 Pendlebury Road",,CARDIFF,NSW,2285,Hunter,Home Care,,,,Hunter Nursing Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.94115868,151.6533881,"$2,639,925.27 "
Strathearn House,75 Gundy Road,,SCONE,NSW,2337,Hunter,Residential,65,,,HammondCare,Charitable,Inner Regional Australia,-32.05737444,150.8774448,"$4,155,814.49 "
Gosling Creek Aged Care,1501-1503 Forest Road,,ORANGE,NSW,2800,Central West,Residential,77,,,Allity Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.31721252,149.089178,"$5,120,025.06 "
RDNS Home Care Packages NSW Far North coast,Suite 5,109 William Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,Royal District Nursing Service Limited,Charitable,Inner Regional Australia,-31.43092002,152.9137997,"($61,497.84)"
RDNS Home Care Packages NSW Northern Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097,"$572,013.35 "
RDNS Home Care Packages NSW Mid North Coast,Suite 5,109 Wiliam Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,Royal District Nursing Service Limited,Charitable,Inner Regional Australia,-31.43091143,152.9090121,"$2,032,209.21 "
RDNS Home Care Packages NSW Central Coast,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097,"$787,580.83 "
RDNS Home Care Packages NSW South West Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097,"$635,921.21 "
RDNS Home Care Packages NSW Inner West Sydney,Office A2.01,20 Lexingon Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73526107,150.9462954,"$1,883,125.56 "
RDNS Home Care Packages NSW Western Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097,"$3,278,796.49 "
RDNS Home Care Packages NSW South East Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097,"$1,019,063.16 "
Southern Cross Care Thornton Park,72-84 Empire Circuit,,PENRITH,NSW,2750,Nepean,Residential,100,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.747702,150.702489,"$7,930,045.22 "
St Simeon Community Care - Alexandria,14 Renwick Street,,ALEXANDRIA,NSW,2015,South East Sydney,Home Care,,,,Serbian Orthodox Diocese Aged Care and Education Property Fund,Charitable,Major Cities of Australia,-33.89961283,151.1927039,"$309,321.26 "
Oran Park House Aged Care Facility,1 Thompson Road,,ORAN PARK,NSW,2570,South West Sydney,Residential,250,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.9963298,150.7380417,"$3,194.75 "
Anglicare Community Aged Care - Northern Sydney,"Unit 22, 14 Rodborough Road",,FRENCHS FOREST,NSW,2086,Northern Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75361009,151.2476237,"$229,241.27 "
Anglicare Community Aged Care - South West Sydney,40 Cumberland Street,,CABRAMATTA,NSW,2166,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.89648312,150.9416396,"$225,174.33 "
Anglicare Community Aged Care - Western Sydney,91A Kurrajong Avenue,,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.76322105,150.8078046,"$1,363,275.14 "
Anglicare Community Aged Care - Southern Highlands,5/274 Argyle Street,,MOSS VALE,NSW,2577,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-34.55435098,150.3615424,"$125,437.99 "
Anglicare Community Aged Care - Inner West,1 Sloane Street,,SUMMER HILL,NSW,2130,Inner West,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.88877494,151.1404936,"$4,945,368.82 "
Dural House Aged Care,705-717 Old Northern Road,,DURAL,NSW,2158,Western Sydney,Residential,140,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.6948947,151.0198099,"$7,136,310.61 "
Boronia House,183-197 Boronia Road,,ST MARYS,NSW,2760,Nepean,Residential,130,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.748278,150.77882,"$9,380,657.96 "
integratedliving Home Care Packages NSW,"Suite 302, Level 3, 251 Wharf Road",,NEWCASTLE,NSW,2300,Hunter,Home Care,,,,Integratedliving Australia Ltd,Community Based,Major Cities of Australia,-32.925923,151.77711,"$30,847,391.04 "
"HCR - Home Care Packages, Southern Metropolitan","Suite 3 20, Platinum Building West Wing",4 Ilya Avenue,ERINA,NSW,2250,Central Coast,Home Care,,,,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.439685,151.38348,"$127,909,604.37 "
Arcare Glenhaven,93 Glenhaven Road,,GLENHAVEN,NSW,2156,Western Sydney,Residential,123,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.695784,150.993606,"$7,946,691.69 "
HammondAtHome Nepean,"Suite 405, Level 4",10 Century Circuit,BAULKHAM HILLS,NSW,2153,Western Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.7335251,150.9630072,"$2,901,051.44 "
HammondAtHome Southern Highlands,HammondCare - Miranda,19 Kiama Street,MIRANDA,NSW,2228,South East Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-34.02428446,151.1051272,"$4,282,274.63 "
Southern Cross Community Care - South West Sydney,45 Barcom Street,,MERRYLANDS WEST,NSW,2160,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.83956733,150.9708538,"$116,228.72 "
Southern Cross Community Care - Northern Sydney,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Home Care,,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.70083735,151.1469716,"$43,985.44 "
Southern Cross Community Care - Nepean,St Francis Apartments,122 Hyatts Road,PLUMPTON,NSW,2761,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.74485561,150.8332216,"$103,839.42 "
Southern Cross Community Care - Hunter,"Office 407, 1 Bryant Drive",,TUGGERAH,NSW,2259,Central Coast,Home Care,,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.313278,151.423692,"$154,244.00 "
Bankstown Terrace Care Community,14-20 Eldridge Road,,BANKSTOWN,NSW,2200,South West Sydney,Residential,155,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.933102,151.026388,"$12,535,788.36 "
Melva McDonald Lodge,11 Mavis Street,,ROOTY HILL,NSW,2766,Western Sydney,Residential,102,,,Anglican Community Services,Religious,Major Cities of Australia,-33.772217,150.846423,"$6,368,036.07 "
Dudley Foord House,4 View Street,,THE PONDS,NSW,2769,Western Sydney,Residential,104,,,Anglican Community Services,Religious,Major Cities of Australia,-33.7191591,150.9169538,"$8,080,319.16 "
Sienna Grange Aged Care,32 John Oxley Drive,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,68,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.455843,152.874176,"$4,427,275.64 "
UnitingCare Ageing Central Coast Community Care,Suite 9,6 Reliance Drive,TUGGERAH,NSW,2259,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.31599445,151.4205497,"$105,369.19 "
Banksia Villages Home Care,65 Heath Street,,BROULEE,NSW,2537,Southern Highlands,Home Care,,,,Banksia Villages Ltd,Charitable,Inner Regional Australia,-35.85004973,150.1707905,"$1,251,281.69 "
UnitingCare Ageing South East Sydney Community Care,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273,"$38,550.50 "
UnitingCare Ageing Southern Highlands Community Care,6 Tilba Street,,NAROOMA,NSW,2546,Southern Highlands,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-36.22033813,150.1338221,"$3,205,007.78 "
UnitingCare Ageing Sydney West Community Care,83 Flushcombe Road,,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.78651278,150.9061651,"$60,192.50 "
MidCoast Assist,Community Centre,_ Breese Parade,FORSTER,NSW,2428,Mid North Coast,Home Care,,,,Mid-Coast Council,Local Government,Inner Regional Australia,-32.20028335,152.5221265,"$3,203,652.09 "
Australian Unity Community Care Inner West,88 PHILLIP Street,,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.86483678,151.2119317,"$65,335.60 "
Cessnock Home Care and Support Services,2 Mount View Road,,CESSNOCK,NSW,2325,Hunter,Home Care,,,,Northern Coalfields Community Care Association Ltd,Community Based,Inner Regional Australia,-32.83362876,151.3507165,"$2,163,374.12 "
Australian Unity Community Care - South East Sydney,88 PHILLIP Street,,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.86483678,151.2119317,$0.00 
RSL LifeCare at Home,90 Veterans Parade,,NARRABEEN,NSW,2101,Northern Sydney,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.72410351,151.2867685,$0.00 
Wesley Home And Carer Support Services (Nepean),Suite 102,148 Henry Street,PENRITH,NSW,2751,Nepean,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.75223503,150.6952258,"$390,479.54 "
Gallipoli Home,11 Gelibolu Parade,,AUBURN,NSW,2144,Western Sydney,Residential,102,,,Gallipoli Health Services Limited,Community Based,Major Cities of Australia,-33.85328,151.036469,"$8,296,715.75 "
KinCare - Central Coast - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$1,620,559.49 "
KinCare - Illawarra - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$1,283,432.90 "
KinCare - New England - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$138,547.98 "
Oxley Home Care (Northern Sydney),"Suite 19, 7 Narabang Way",,BELROSE,NSW,2085,Northern Sydney,Home Care,,,,Oxley Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.70630335,151.2096589,"$4,120,941.35 "
Oxley Home Care (Western Sydney),"Suite 19, 7 Narabang Way",,BELROSE,NSW,2085,Northern Sydney,Home Care,,,,Oxley Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.70630335,151.2096589,"$1,416,078.15 "
Oxley Home Care (South West Sydney),"Suite 19, 7 Narabang Way",,BELROSE,NSW,2085,Northern Sydney,Home Care,,,,Oxley Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.70630335,151.2096589,"$1,380,888.04 "
Oxley Home Care (Inner West),"Suite 19, 7 Narabang Way",,BELROSE,NSW,2085,Northern Sydney,Home Care,,,,Oxley Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.70630335,151.2096589,"$1,322,253.93 "
Greek Welfare Centre Inner West,378 A King Street,,NEWTOWN,NSW,2042,Inner West,Home Care,,,,Greek Orthodox Archdiocese of Australia Consolidated Trust - Greek Welfare Centre,Religious,Major Cities of Australia,-33.89912682,151.1782069,"$2,612,874.81 "
Greek Welfare Centre South West Sydney,378 A King Street,,NEWTOWN,NSW,2042,Inner West,Home Care,,,,Greek Orthodox Archdiocese of Australia Consolidated Trust - Greek Welfare Centre,Religious,Major Cities of Australia,-33.89912682,151.1782069,"$1,458,184.14 "
Greek Welfare Centre Hunter,378 A King Street,,NEWTOWN,NSW,2042,Inner West,Home Care,,,,Greek Orthodox Archdiocese of Australia Consolidated Trust - Greek Welfare Centre,Religious,Major Cities of Australia,-33.89912682,151.1782069,"$1,355,001.64 "
Blacktown Terrace Care Community,37-43 Kildare Road,,BLACKTOWN,NSW,2148,Western Sydney,Residential,149,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.769614,150.8953002,"$12,167,034.01 "
Annecto Western Sydney Level 1,"Level 2, 37-47 St Johns Road",,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$67,337.22 "
Annecto Western Sydney Level 3,"Level 2, 37-47 St Johns Road",,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$112,450.89 "
Annecto Western Sydney Level 4,"Level 2, 37-47 St Johns Road",,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$1,250,739.04 "
At Home Services Feros Care - Far North Coast,15 Elizabeth Street,,POTTSVILLE,NSW,2489,Far North Coast,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-28.39097,153.563348,"$9,378,385.00 "
Lutheran Aged Care (Albury and Corowa Shire),10 SOMERSET Drive,,WEST ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.0729324,146.8862144,"$4,933,950.07 "
Mercy Community Care Packages,32 Union Street,,TIGHES HILL,NSW,2297,Hunter,Home Care,,,,Mercy Services,Charitable,Major Cities of Australia,-32.90876903,151.7493751,"$4,903,209.32 "
Mayo Healthcare Group,"Suite 3, 72-75 Elbow Street",,WEST KEMPSEY,NSW,2440,Mid North Coast,Home Care,,,,Mayo Healthcare Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.08110123,152.8285884,"$1,762,872.45 "
annecto HCP Program - Nepean Region,Level 2,37-47 St Johns Road,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$243,907.87 "
At Home Services Feros Care - Central Coast,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.87080034,151.2070331,"$91,165.52 "
At Home Services Feros Care - Hunter,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.87080034,151.2070331,"$267,769.02 "
At Home Services Feros Care - Illawarra,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.87080034,151.2070331,"$1,037,748.97 "
At Home Services Feros Care - Inner West,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.87080034,151.2070331,"$272,501.45 "
At Home Services Feros Care - South East Sydney,"Level 26, 44 Market Street",,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.8705177,151.2036015,"$806,182.99 "
At Home Services Feros Care - South West Sydney,"Level 26, 44 Market Street",,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.8705177,151.2036015,"$231,926.77 "
Anglican Care Mirrabooka Place,1 Clement Street,,GLOUCESTER,NSW,2422,Mid North Coast,Residential,50,,,Anglican Care,Charitable,Inner Regional Australia,-32.01864763,151.9610459,"$2,726,831.13 "
Intereach,78 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Home Care,,,,Intereach Limited,Community Based,Inner Regional Australia,-35.53125939,144.9594411,"$4,390,610.32 "
Uniting Home Care - South West Sydney,41 Meredith Street,,BANKSTOWN,NSW,2200,South West Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.91373347,151.0326182,"$26,659.05 "
annecto HCP Program - ACT,Level 2,37-47 St Johns Road,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$1,405,964.79 "
Goodwin Home Care Packages,138 Monaro Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Home Care,,,,Goodwin Aged Care Services Limited,Charitable,Major Cities of Australia,-35.35307056,149.2357092,"$1,713,391.36 "
